Seed:,Runtime:,Reward of Final Program:,Final program:
1,487.46875,0.75,DEF run m( REPEAT R=10 r( WHILE c( frontIsClear c) w( move w) turnRight r) WHILE c( leftIsClear c) w( move w) m)
2,488.421875,0.8125,DEF run m( WHILE c( frontIsClear c) w( move turnLeft WHILE c( not c( frontIsClear c) c) w( putMarker turnRight w) w) m)
3,497.96875,0.75,DEF run m( WHILE c( noMarkersPresent c) w( WHILE c( frontIsClear c) w( move w) turnRight w) m)
4,490.984375,1.0,DEF run m( WHILE c( noMarkersPresent c) w( REPEAT R=4 r( IFELSE c( frontIsClear c) i( move turnLeft i) ELSE e( turnRight e) r) w) m)
5,489.984375,0.75,DEF run m( REPEAT R=6 r( WHILE c( frontIsClear c) w( move w) turnRight r) m)
6,489.484375,0.75,DEF run m( IFELSE c( rightIsClear c) i( move i) ELSE e( move e) IF c( leftIsClear c) i( turnRight i) WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) w) m)
7,488.984375,0.75,DEF run m( IF c( leftIsClear c) i( move i) WHILE c( noMarkersPresent c) w( IFELSE c( not c( frontIsClear c) c) i( turnRight i) ELSE e( move e) w) m)
8,489.15625,0.75,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) w) REPEAT R=0 r( move move r) WHILE c( frontIsClear c) w( move w) m)
9,492.8125,0.75,DEF run m( REPEAT R=16 r( WHILE c( frontIsClear c) w( move w) IFELSE c( not c( frontIsClear c) c) i( turnRight i) ELSE e( WHILE c( frontIsClear c) w( move w) e) r) m)
10,494.609375,1.0,DEF run m( WHILE c( frontIsClear c) w( move turnLeft WHILE c( not c( frontIsClear c) c) w( turnRight w) w) m)
11,491.890625,0.75,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) w) REPEAT R=5 r( turnLeft r) m)
12,491.578125,1.0,DEF run m( WHILE c( frontIsClear c) w( move turnRight WHILE c( not c( frontIsClear c) c) w( turnLeft w) w) m)
13,493.03125,0.75,DEF run m( WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) w) WHILE c( frontIsClear c) w( move turnLeft w) m)
14,493.1875,0.75,DEF run m( REPEAT R=1 r( move r) WHILE c( noMarkersPresent c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) w) m)
15,490.9375,0.75,DEF run m( IF c( noMarkersPresent c) i( REPEAT R=11 r( IFELSE c( leftIsClear c) i( move i) ELSE e( turnRight e) WHILE c( frontIsClear c) w( move w) r) i) m)
16,490.34375,0.75,DEF run m( WHILE c( not c( markersPresent c) c) w( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) w) move turnRight m)
17,491.796875,0.75,DEF run m( REPEAT R=16 r( WHILE c( frontIsClear c) w( move w) turnRight putMarker r) m)
18,489.640625,0.75,DEF run m( REPEAT R=15 r( IFELSE c( frontIsClear c) i( move i) ELSE e( turnRight e) WHILE c( frontIsClear c) w( move w) r) m)
19,507.1875,0.75,DEF run m( REPEAT R=9 r( WHILE c( frontIsClear c) w( move w) turnRight r) m)
20,510.765625,1.0,DEF run m( WHILE c( noMarkersPresent c) w( move turnRight WHILE c( not c( frontIsClear c) c) w( turnLeft w) w) turnLeft m)
